sample,90%,80%,70%,60%,50%,40%,30%,20%,10%
20,2.1955,1.5949,1.3227,1.2034,1.1889,1.2841,1.6523,2.2382,59.969
100,1.2621,0.8261,0.5901,0.5093,0.4236,0.3553,0.3741,0.3517,0.7979
10000,0.1047,0.0743,0.0593,0.0495,0.038,0.0287,0.0215,0.0191,0.0145
