sample,90%,80%,70%,60%,50%,40%,30%,20%,10%
20,2.3986,0.3407,0.1518,0.1163,0.1009,0.0986,0.0984,0.1187,3.3506
100,0.1087,0.0714,0.0529,0.0472,0.038,0.0312,0.0286,0.0252,0.0541
10000,0.0093,0.0073,0.005,0.004,0.0029,0.0026,0.0021,0.0017,0.0012
