sample,90%,80%,70%,60%,50%,40%,30%,20%,10%
20,2.2522,1.6458,1.3397,1.2086,1.0951,1.072,1.3474,1.9002,50.9847
100,1.17,0.7109,0.4999,0.4524,0.3631,0.3233,0.3343,0.3259,0.6984
10000,0.0892,0.0606,0.0462,0.0389,0.0308,0.0246,0.0193,0.0158,0.0126
