sample,90%,80%,70%,60%,50%,40%,30%,20%,10%
20,2.2724,0.3803,0.1877,0.1434,0.1197,0.1094,0.1025,0.1214,3.6
100,0.1266,0.0785,0.0584,0.0536,0.043,0.0356,0.0327,0.0287,0.0571
10000,0.0098,0.007,0.0046,0.0039,0.0029,0.0026,0.0022,0.0017,0.0011
