seed,90%,80%,70%,60%,50%,40%,30%,20%,10%
1,0.8996,1.063,0.4231,0.442,0.4874,0.5189,0.4604,0.5696,5.7633
2,0.8054,0.4026,0.4751,0.357,0.4067,0.4511,0.5745,0.724,0.6641
3,0.7221,0.5386,0.5178,0.474,0.4434,0.3682,0.4008,0.4791,1.7012
4,1.2897,0.9445,0.7178,0.6529,0.4544,0.3903,0.4441,0.5248,0.7793
5,0.8952,0.7757,0.519,0.6003,0.6696,0.5666,0.6694,0.7206,0.6208
6,0.5609,0.6179,0.4816,0.3714,0.3639,0.4287,0.6103,0.4417,0.6948
7,4.1653,1.0646,0.739,0.5254,0.4145,0.4274,0.4207,0.4401,0.5499
8,8.0778,0.4147,0.556,0.5979,0.6117,0.4415,0.355,0.3999,0.6266
9,0.248,0.3671,0.4315,0.4774,0.5526,0.5803,0.4296,0.4699,2.3025
10,5.157,0.4932,0.4417,0.628,0.555,0.6318,0.6318,0.6248,0.5486
11,0.5523,0.4717,0.4369,0.462,0.468,0.4564,0.4823,0.6739,0.8982
12,0.7512,0.6718,0.8014,0.8992,0.7168,0.8134,0.8182,0.8616,4.127
13,0.1806,0.4335,0.3783,0.3397,0.3934,0.4473,0.3854,0.8047,0.6152
14,9.3287,2.3432,0.4664,0.4003,0.4353,0.6339,0.4559,0.4469,0.4828
15,0.3106,0.3509,0.4767,0.4448,0.4406,0.4237,0.4099,0.5903,0.572
16,0.5944,0.5072,0.4929,0.4964,0.4708,0.5172,0.4067,0.5635,0.6961
17,0.8054,0.4975,0.399,0.3612,0.4201,0.443,0.4263,0.5431,0.4754
18,0.4378,0.3136,0.3403,0.435,0.4477,0.3885,0.408,0.4355,1.0113
19,0.2351,0.2825,0.2906,0.3173,0.3048,0.58,0.7427,0.617,1.5616
20,2.7177,1.1121,1.0036,0.8141,0.6999,0.6854,0.5993,0.5713,0.5344
21,0.7864,0.4888,0.4121,0.3733,0.3343,0.3545,0.5708,0.4929,0.5619
22,2.3924,1.1092,0.8154,0.5396,0.3797,0.4242,0.4589,0.5736,2.1603
