seed,90%,80%,70%,60%,50%,40%,30%,20%,10%
1,0.8728,1.1553,0.5355,0.5632,0.58,0.5756,0.5085,0.6096,6.0159
2,0.7639,0.4602,0.4415,0.3842,0.441,0.4493,0.6042,0.7892,0.6937
3,0.7134,0.6564,0.6231,0.5286,0.4998,0.4247,0.445,0.518,1.7256
4,1.2864,0.9101,0.7461,0.6314,0.4814,0.4237,0.4544,0.5368,0.7945
5,0.8884,0.7617,0.5671,0.7245,0.7731,0.6075,0.7242,0.793,0.6813
6,0.5609,0.6892,0.5094,0.3551,0.3861,0.4425,0.6076,0.4562,0.7306
7,3.9352,1.2979,0.7199,0.536,0.4238,0.49,0.4816,0.4598,0.5841
8,7.1225,0.4522,0.4646,0.6042,0.5935,0.4616,0.3957,0.415,0.6613
9,0.2314,0.3545,0.4107,0.5107,0.6217,0.6373,0.48,0.5043,2.5322
10,4.9855,0.4621,0.409,0.6151,0.5746,0.6668,0.6326,0.6459,0.5422
11,0.5509,0.4881,0.4921,0.5138,0.5457,0.5308,0.5571,0.7152,0.9484
12,0.7377,0.8843,1.1041,1.1087,0.7947,0.8728,0.9386,0.93,4.4692
13,0.1742,0.3736,0.4429,0.3682,0.4455,0.4671,0.4022,0.81,0.6435
14,9.0214,2.3459,0.5051,0.4267,0.4578,0.6699,0.4913,0.4795,0.5073
15,0.2869,0.3486,0.4999,0.4554,0.4689,0.4691,0.4579,0.611,0.5985
16,0.5549,0.4723,0.5511,0.5484,0.4883,0.5208,0.4424,0.5354,0.7436
17,0.7639,0.471,0.4435,0.3968,0.4523,0.519,0.4942,0.5433,0.4976
18,0.4337,0.3259,0.3933,0.5041,0.5069,0.4119,0.4429,0.4816,0.999
19,0.235,0.3047,0.3174,0.3553,0.3465,0.5711,0.7386,0.5999,1.5895
20,2.702,1.2141,0.9792,0.7198,0.7226,0.7362,0.6095,0.6328,0.5791
21,0.7863,0.5744,0.4595,0.3927,0.3501,0.3913,0.586,0.4879,0.5729
22,2.221,1.1042,0.913,0.5477,0.376,0.4317,0.4736,0.592,2.2259
23,4.9855,1.2481,0.9154,0.9016,0.6001,0.5313,0.5686,0.4851,0.6844
24,1.4875,0.8473,0.7215,0.515,0.4554,0.4535,0.4103,0.5543,0.6724
25,0.4455,0.482,0.4839,0.6055,0.5246,0.4523,0.3913,0.6528,0.688
26,1.4875,1.2979,0.5566,0.5897,0.6083,0.4907,0.4858,0.51,0.492
